epoch,clean_loss_fp,clean_acc_fp,bd_loss_fp,asr_fp,clean_loss_lr_2000,clean_acc_lr_2000,bd_loss_lr_2000,asr_lr_2000,clean_loss_lr_1900,clean_acc_lr_1900,bd_loss_lr_1900,asr_lr_1900,clean_loss_lr_1800,clean_acc_lr_1800,bd_loss_lr_1800,asr_lr_1800
base,1.9965,68.5000,15.0750,0.0000,2.2122,62.5000,15.0303,0.5000,2.2688,61.0000,14.7791,0.0000,2.2637,58.5000,14.9282,1.0000
1,0.4850,79.5000,5.3878,4.5000,0.7046,64.0000,1.6786,82.5000,0.8257,56.5000,1.2472,94.5000,0.9273,48.5000,1.0615,99.0000
2,0.4545,84.0000,6.3775,2.0000,0.7197,64.5000,1.2933,84.0000,0.9031,50.0000,0.7863,94.5000,1.0795,39.0000,0.5259,99.0000
3,0.4531,84.5000,7.1853,6.5000,0.6712,67.0000,1.3205,86.5000,0.8670,48.5000,0.7653,95.5000,1.0649,32.5000,0.4710,100.0000
4,0.4366,85.5000,7.2397,12.5000,0.6437,71.5000,1.0485,93.0000,0.7754,58.5000,0.6709,97.0000,0.9020,55.5000,0.5492,98.5000
5,0.3968,87.5000,7.3182,6.5000,0.5527,77.0000,1.1714,85.5000,0.6570,69.0000,0.7612,95.5000,0.8065,62.0000,0.5539,97.0000
6,0.4218,87.5000,7.4954,9.5000,0.5492,79.0000,1.2480,86.5000,0.6489,72.5000,0.8011,93.5000,0.7440,65.0000,0.6400,97.0000
7,0.3959,87.0000,7.0438,6.5000,0.5734,76.5000,0.8017,93.0000,0.6856,65.5000,0.5291,96.5000,0.8129,55.0000,0.3918,98.5000
8,0.3755,86.5000,7.4677,15.0000,0.5453,75.5000,0.8875,89.5000,0.6383,66.0000,0.6360,97.0000,0.7562,58.0000,0.4376,99.0000
9,0.3756,87.5000,7.2957,11.5000,0.5079,85.0000,1.0971,84.5000,0.5834,77.0000,0.7522,93.5000,0.6679,69.0000,0.5981,97.0000
10,0.3797,89.0000,6.9672,14.0000,0.5255,82.5000,0.8716,86.0000,0.6160,75.5000,0.5560,95.0000,0.6973,66.0000,0.4578,98.0000
